costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,weburl
A,USD,STD,INDL,C,001075,2010-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2011-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2012-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2013-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2014-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2015-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2016-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2017-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2018-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2019-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2020-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2021-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2022-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2023-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2024-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001075,2025-12-31,PINNACLE WEST CAPITAL CORP,PNW,www.pinnaclewest.com
A,USD,STD,INDL,C,001078,2010-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2011-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2012-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2013-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2014-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2015-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2016-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2017-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2018-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2019-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2020-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2021-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2022-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2023-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2024-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001078,2025-12-31,ABBOTT LABORATORIES,ABT,www.abbott.com
A,USD,STD,INDL,C,001161,2010-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2011-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2012-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2013-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2014-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2015-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2016-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2017-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2018-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2019-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2020-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2021-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2022-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2023-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2024-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001161,2025-12-31,ADVANCED MICRO DEVICES,AMD,www.amd.com
A,USD,STD,INDL,C,001209,2010-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2011-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2012-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2013-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2014-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2015-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2016-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
A,USD,STD,INDL,C,001209,2017-09-30,AIR PRODUCTS & CHEMICALS INC,APD,www.airproducts.com
